n_transcripts,n_expressed_truth,n_expressed_pred,total_truth,total_predicted,total_abs_error,mae,median_abs_error,rmse,mean_rel_error,median_rel_error,mape,ware,pearson_r,spearman_r,log2_pearson_r,log2_spearman_r,precision,recall,f1,tp,fp,fn,tn,condition,tool,expression_bin,gdna_label,strand_specificity,nrna_label
129252,0,12689,0.0,14534.909651480326,14534.909651480326,0.11245404056788541,0.0,4.664344199830397,,,,,,,,,0.0,,,0,12689,0,116563,gdna_high_ss_0.90_nrna_none,rigel/map,zero,high,0.9,none
42779,42779,42179,146543.42228719435,141909.69216887024,26941.570638806083,0.6297849561421744,0.39157506614953075,1.6791005259950147,0.23584096494986698,0.14090029883475558,23.5840964949867,0.18384701420447422,0.8032816432298477,0.8922500168892625,0.8793660885563492,0.8922500168892625,1.0,0.9859744267046916,0.9929376868570352,42179,0,600,0,gdna_high_ss_0.90_nrna_none,rigel/map,low_1-10,high,0.9,none
13941,13941,13920,391196.7334929294,387481.22905805305,22230.52447107339,1.5946147673103357,0.8885033751302416,3.7713621422376415,0.07031328623472996,0.03840271617785558,7.031328623472996,0.05682696855002035,0.9823365702414097,0.973111483956788,0.9533595134346627,0.973111483956788,1.0,0.9984936518183775,0.9992462582104017,13920,0,21,0,gdna_high_ss_0.90_nrna_none,rigel/map,mid_10-100,high,0.9,none
1413,1413,1412,320105.8834664012,317825.88271476096,10632.847303170143,7.525015784267618,2.631432109062402,33.560976984890836,0.035639131404286074,0.014927288699917262,3.5639131404286073,0.033216656901234945,0.9772765942968025,0.978025951745537,0.9332038225999615,0.978025951745537,1.0,0.9992922859164898,0.9996460176991151,1412,0,1,0,gdna_high_ss_0.90_nrna_none,rigel/map,high_100-1000,high,0.9,none
77,77,76,121001.6039728758,117163.1946779279,5743.688291409841,74.59335443389405,17.578461920260906,217.93002847333057,0.052756868785068724,0.012739138679269804,5.275686878506872,0.04746786904326797,0.909572727113922,0.9319627740680372,0.3312893744779025,0.9319627740680372,1.0,0.987012987012987,0.9934640522875817,76,0,1,0,gdna_high_ss_0.90_nrna_none,rigel/map,very_high_1000+,high,0.9,none
129252,0,8372,0.0,12570.405499531567,12570.405499531567,0.097255017326862,0.0,4.47066050566623,,,,,,,,,0.0,,,0,8372,0,120880,gdna_high_ss_0.90_nrna_none,rigel/vbem,zero,high,0.9,none
42779,42779,41638,146543.42228719435,141957.99026737813,28016.892176461308,0.6549216245461864,0.39667613782859545,1.6951928411198025,0.2455629641014431,0.14162716009475196,24.55629641014431,0.19118491802077667,0.802539985480579,0.8809731544000886,0.8583690114158145,0.8809731544000886,1.0,0.9733280347834218,0.9864837651184003,41638,0,1141,0,gdna_high_ss_0.90_nrna_none,rigel/vbem,low_1-10,high,0.9,none
13941,13941,13895,391196.7334929294,388982.08579705376,22704.093974609943,1.6285843178114872,0.8872860980338366,3.8903196421870065,0.07214696748172747,0.037828423538348234,7.214696748172747,0.05803753464884263,0.9813052583181595,0.971330226226382,0.9361134200402292,0.971330226226382,1.0,0.9967003801735886,0.9983474637160511,13895,0,46,0,gdna_high_ss_0.90_nrna_none,rigel/vbem,mid_10-100,high,0.9,none
1413,1413,1411,320105.8834664012,318693.33483228163,10679.482665337813,7.558020286863279,2.7690194475276826,33.60788225506227,0.03619392204820245,0.014864241795647047,3.619392204820245,0.03336234420214506,0.9773085644785698,0.9775162330948788,0.910238552035477,0.9775162330948788,1.0,0.9985845718329794,0.9992917847025496,1411,0,2,0,gdna_high_ss_0.90_nrna_none,rigel/vbem,high_100-1000,high,0.9,none
77,77,76,121001.6039728758,117427.52783969908,5731.169771154311,74.43077624875728,18.356925141346892,218.44888546704746,0.052715035437363736,0.011730363810585539,5.271503543736373,0.047364411569610534,0.9094281619823861,0.9315947210684051,0.33169254652566244,0.9315947210684051,1.0,0.987012987012987,0.9934640522875817,76,0,1,0,gdna_high_ss_0.90_nrna_none,rigel/vbem,very_high_1000+,high,0.9,none
129252,0,35172,0.0,51446.812193,51446.812193,0.3980349409912419,0.0,6.664617120226054,,,,,,,,,0.0,,,0,35172,0,94080,gdna_high_ss_0.90_nrna_none,salmon,zero,high,0.9,none
42779,42779,41001,146543.42228719435,180191.517453,96045.6330147534,2.245158442571201,0.6501859552466209,13.807499546537487,0.8112490911785205,0.24046912742456572,81.12490911785206,0.6554073292114342,0.15196369944203278,0.635340078146793,0.5642397485067372,0.635340078146793,1.0,0.9584375511349026,0.9787777512532824,41001,0,1778,0,gdna_high_ss_0.90_nrna_none,salmon,low_1-10,high,0.9,none
13941,13941,13724,391196.7334929294,353420.23820100003,114678.78619447624,8.226008621653843,2.4299801910467043,25.07895054867382,0.32630511170206605,0.09958520076743219,32.6305111702066,0.2931486292600881,0.5489817269753262,0.7011920290956843,0.5659637205025199,0.7011920290956843,1.0,0.9844344021232336,0.9921561539851799,13724,0,217,0,gdna_high_ss_0.90_nrna_none,salmon,mid_10-100,high,0.9,none
1413,1413,1391,320105.8834664012,259702.405868,71141.46899063505,50.347819526281,14.957662045387565,102.18922328754195,0.21904529350017451,0.06639934353207583,21.90452935001745,0.2222435533525649,0.8127369285482523,0.7379759375098184,0.4584421575192628,0.7379759375098184,1.0,0.9844302901627743,0.9921540656205421,1391,0,22,0,gdna_high_ss_0.90_nrna_none,salmon,high_100-1000,high,0.9,none
77,77,76,121001.6039728758,93910.363742,27306.36072759606,354.6280613973514,138.83630608990575,579.6897070102307,0.2201306607798807,0.1052947418699733,22.013066077988068,0.2256694112395168,0.5634363342813575,0.6434355118565644,0.2214823657651007,0.6434355118565644,1.0,0.987012987012987,0.9934640522875817,76,0,1,0,gdna_high_ss_0.90_nrna_none,salmon,very_high_1000+,high,0.9,none
129252,0,68323,0.0,45811.88104046786,45811.88104046786,0.3544384693503223,0.0285955,2.734054191452003,,,,,,,,,0.0,,,0,68323,0,60929,gdna_high_ss_0.90_nrna_none,kallisto,zero,high,0.9,none
42779,42779,42473,146543.42228719435,142069.1312028268,28488.682195322617,0.6659501670287434,0.43998898339906023,1.3276748904320947,0.2450803274102832,0.15963349145479744,24.50803274102832,0.19440437346611694,0.8483909067101872,0.8829703434970647,0.8760687002771378,0.8829703434970647,1.0,0.9928469576193927,0.9964106413925773,42473,0,306,0,gdna_high_ss_0.90_nrna_none,kallisto,low_1-10,high,0.9,none
13941,13941,13938,391196.7334929294,365072.8294570732,33308.00296939997,2.3892118907825814,1.560799604775628,3.9166519723758753,0.09393835937934186,0.06454180362621528,9.393835937934186,0.08514386782322657,0.9856316154544295,0.9703712354929764,0.9685724113043834,0.9703712354929764,1.0,0.9997848074026253,0.9998923921231034,13938,0,3,0,gdna_high_ss_0.90_nrna_none,kallisto,mid_10-100,high,0.9,none
1413,1413,1411,320105.8834664012,298919.8166,22050.716175104295,15.605602388608842,10.556697104775907,25.576296470855517,0.06835097217022297,0.05526568291743025,6.835097217022297,0.06888569474674705,0.9925424847119874,0.9782117715816251,0.9149547848990429,0.9782117715816251,1.0,0.9985845718329794,0.9992917847025496,1411,0,2,0,gdna_high_ss_0.90_nrna_none,kallisto,high_100-1000,high,0.9,none
77,77,77,121001.6039728758,111752.76999999997,9562.296205464578,124.18566500603347,102.29107993555681,153.32037434873723,0.08340000446635641,0.06750425259566438,8.34000044663564,0.0790261937982913,0.9765443849551969,0.9805457700194542,0.9266144894972661,0.9805457700194542,1.0,1.0,1.0,77,0,0,0,gdna_high_ss_0.90_nrna_none,kallisto,very_high_1000+,high,0.9,none
