T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	N01	N02	N03	N04	N05	N06	N07	N08	N09	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	strand_specificity	n_rna_fragments	gdna_fraction	gdna_strand_kappa	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	nrna_T21	nrna_T23	nrna_T25	nrna_T27	nrna_T29	nrna_T31	nrna_T33	nrna_T35	nrna_T37	nrna_T39	nrna_T22	nrna_T24	nrna_T26	nrna_T28	nrna_T30	nrna_T32	nrna_T34	nrna_T36	nrna_T38	nrna_T40	gdna	T01_expected	T02_expected	T03_expected	T04_expected	T05_expected	T06_expected	T07_expected	T08_expected	T09_expected	T10_expected	T11_expected	T12_expected	T13_expected	T14_expected	T15_expected	T16_expected	T17_expected	T18_expected	T19_expected	T20_expected	T21_expected	T22_expected	T23_expected	T24_expected	T25_expected	T26_expected	T27_expected	T28_expected	T29_expected	T30_expected	T31_expected	T32_expected	T33_expected	T34_expected	T35_expected	T36_expected	T37_expected	T38_expected	T39_expected	T40_expected	T01_observed	T02_observed	T03_observed	T04_observed	T05_observed	T06_observed	T07_observed	T08_observed	T09_observed	T10_observed	T11_observed	T12_observed	T13_observed	T14_observed	T15_observed	T16_observed	T17_observed	T18_observed	T19_observed	T20_observed	T21_observed	T22_observed	T23_observed	T24_observed	T25_observed	T26_observed	T27_observed	T28_observed	T29_observed	T30_observed	T31_observed	T32_observed	T33_observed	T34_observed	T35_observed	T36_observed	T37_observed	T38_observed	T39_observed	T40_observed	T01_abs_diff	T02_abs_diff	T03_abs_diff	T04_abs_diff	T05_abs_diff	T06_abs_diff	T07_abs_diff	T08_abs_diff	T09_abs_diff	T10_abs_diff	T11_abs_diff	T12_abs_diff	T13_abs_diff	T14_abs_diff	T15_abs_diff	T16_abs_diff	T17_abs_diff	T18_abs_diff	T19_abs_diff	T20_abs_diff	T21_abs_diff	T22_abs_diff	T23_abs_diff	T24_abs_diff	T25_abs_diff	T26_abs_diff	T27_abs_diff	T28_abs_diff	T29_abs_diff	T30_abs_diff	T31_abs_diff	T32_abs_diff	T33_abs_diff	T34_abs_diff	T35_abs_diff	T36_abs_diff	T37_abs_diff	T38_abs_diff	T39_abs_diff	T40_abs_diff	T01_rel_err	T02_rel_err	T03_rel_err	T04_rel_err	T05_rel_err	T06_rel_err	T07_rel_err	T08_rel_err	T09_rel_err	T10_rel_err	T11_rel_err	T12_rel_err	T13_rel_err	T14_rel_err	T15_rel_err	T16_rel_err	T17_rel_err	T18_rel_err	T19_rel_err	T20_rel_err	T21_rel_err	T22_rel_err	T23_rel_err	T24_rel_err	T25_rel_err	T26_rel_err	T27_rel_err	T28_rel_err	T29_rel_err	T30_rel_err	T31_rel_err	T32_rel_err	T33_rel_err	T34_rel_err	T35_rel_err	T36_rel_err	T37_rel_err	T38_rel_err	T39_rel_err	T40_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric	rna_fl_true_mean	rna_fl_est_mean	rna_fl_mean_err	rna_fl_true_std	rna_fl_est_std	gdna_fl_true_mean	gdna_fl_est_mean	gdna_fl_mean_err	gdna_fl_true_std	gdna_fl_est_std	rna_fl_n_obs	gdna_fl_n_obs	cal_kappa_true	cal_kappa_est	cal_kappa_err	cal_density_est	cal_gdna_fl_true_mean	cal_gdna_fl_est_mean	cal_gdna_fl_mean_err	cal_gdna_fl_true_std	cal_gdna_fl_est_std	cal_n_seed	cal_n_iterations	cal_converged	cal_mean_weight	cal_n_regions
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	19	38	27	50	62	163	189	219	500	424	608	605	830	872	995	1246	1428	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.17	5.92	16.86	38.19	24.19	48.99	59.43	161.49	197.0	218.95	509.45	425.29	602.96	618.33	837.38	849.83	977.3	1248.24	1423.49	1781.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.08	2.14	0.19	2.81	1.01	2.57	1.51	8.0	0.05	9.45	1.29	5.04	13.33	7.38	22.17	17.7	2.24	4.51	5.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0241	0.0126	0.1128	0.005	0.1042	0.0202	0.0415	0.0093	0.0423	0.0002	0.0189	0.003	0.0083	0.022	0.0089	0.0254	0.0178	0.0018	0.0032	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	9946.6	21.6	0.0022	0	1.12	1.12	10075	10052.28	0.0023	20000	19998.88	0.0001	20000	0	0	250	255.22	5.22	50	53.66	250.0			50.0		3252	0	5.0	10000.0	9995.0	8.7008e-02	250.0	242.63	-7.37	50.0	50.22	π=0.001	5	True	0.6022	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	19	38	27	50	62	163	189	219	500	424	608	605	830	872	995	1246	1428	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.17	5.92	16.86	38.19	24.19	48.99	59.43	161.49	197.0	218.95	509.45	425.29	602.96	618.33	837.38	849.83	977.3	1248.24	1423.49	1781.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.08	2.14	0.19	2.81	1.01	2.57	1.51	8.0	0.05	9.45	1.29	5.04	13.33	7.38	22.17	17.7	2.24	4.51	5.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0241	0.0126	0.1128	0.005	0.1042	0.0202	0.0415	0.0093	0.0423	0.0002	0.0189	0.003	0.0083	0.022	0.0089	0.0254	0.0178	0.0018	0.0032	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	9946.6	21.6	0.0022	0	1.12	1.12	10075	10052.28	0.0023	20000	19998.88	0.0001	20000	0	0	250	255.22	5.22	50	53.66	250.0			50.0		3252	0	20.0	10000.0	9980.0	8.7008e-02	250.0	242.63	-7.37	50.0	50.22	π=0.001	5	True	0.6022	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	19	38	27	50	62	163	189	219	500	424	608	605	830	872	995	1246	1428	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.17	5.92	16.86	38.19	24.19	48.99	59.43	161.49	197.0	218.95	509.45	425.29	602.96	618.33	837.38	849.83	977.3	1248.24	1423.49	1781.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.08	2.14	0.19	2.81	1.01	2.57	1.51	8.0	0.05	9.45	1.29	5.04	13.33	7.38	22.17	17.7	2.24	4.51	5.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0241	0.0126	0.1128	0.005	0.1042	0.0202	0.0415	0.0093	0.0423	0.0002	0.0189	0.003	0.0083	0.022	0.0089	0.0254	0.0178	0.0018	0.0032	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	9946.6	21.6	0.0022	0	1.12	1.12	10075	10052.28	0.0023	20000	19998.88	0.0001	20000	0	0	250	255.22	5.22	50	53.66	250.0			50.0		3252	0	100.0	10000.0	9900.0	8.7008e-02	250.0	242.63	-7.37	50.0	50.22	π=0.001	5	True	0.6022	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	19	38	27	50	62	163	189	219	500	424	608	605	830	872	995	1246	1428	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.17	5.92	16.86	38.19	24.19	48.99	59.43	161.49	197.0	218.95	509.45	425.29	602.96	618.33	837.38	849.83	977.3	1248.24	1423.49	1781.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.08	2.14	0.19	2.81	1.01	2.57	1.51	8.0	0.05	9.45	1.29	5.04	13.33	7.38	22.17	17.7	2.24	4.51	5.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0241	0.0126	0.1128	0.005	0.1042	0.0202	0.0415	0.0093	0.0423	0.0002	0.0189	0.003	0.0083	0.022	0.0089	0.0254	0.0178	0.0018	0.0032	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	9946.6	21.6	0.0022	0	1.12	1.12	10075	10052.28	0.0023	20000	19998.88	0.0001	20000	0	0	250	255.22	5.22	50	53.66	250.0			50.0		3252	0	1000.0	10000.0	9000.0	8.7008e-02	250.0	242.63	-7.37	50.0	50.22	π=0.001	5	True	0.6022	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	21	37	32	60	68	174	150	212	458	429	606	646	890	828	1030	1190	1443	1791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	19.95	43.95	30.22	64.62	64.3	160.74	148.48	206.83	457.49	408.02	616.06	649.72	901.83	815.16	1005.07	1209.73	1470.43	1737.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	2.45	0.0	0.0	0.0	4.0	6.0	1.05	6.95	1.78	4.62	3.7	13.26	1.52	5.17	0.51	20.98	10.06	3.72	11.83	12.84	24.93	19.73	27.43	53.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	2.45	0.0	0.0	0.0	1.0	1.0	0.05	0.1877	0.0557	0.077	0.0544	0.0762	0.0102	0.0244	0.0011	0.0489	0.0166	0.0058	0.0133	0.0155	0.0242	0.0166	0.019	0.0297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	9919.2	5.8	0.0006	2000	2067.71	67.71	10075	10013.09	0.0061	20000	19932.29	0.0034	22000	1349	0	250	250.06	0.06	50	58.73	250.0	250.13	0.13	50.0	51.59	20651	1349	5.0	10000.0	9995.0	4.0899e-03	250.0	249.04	-0.96	50.0	51.71	π=0.635	7	True	0.6368	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	26	36	28	58	67	174	152	213	457	436	609	623	886	820	1040	1205	1449	1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77	0.0	18.73	27.3	19.64	33.13	50.47	120.28	119.63	158.68	369.02	306.1	516.33	479.11	722.1	607.96	921.05	932.33	1257.44	1458.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.23	5.0	7.27	8.7	8.36	24.87	16.53	53.72	32.37	54.32	87.98	129.9	92.67	143.89	163.9	212.04	118.95	272.67	191.56	327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7046	1.0	0.2795	0.2415	0.2986	0.4288	0.2467	0.3087	0.213	0.255	0.1925	0.2979	0.1522	0.231	0.185	0.2586	0.1144	0.2263	0.1322	0.1832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	43.66	9881.34	0.9956	2000	13837.26	11837.26	10075	8119.08	0.1941	20000	8162.74	0.5919	22000	1306	0	250	259.07	9.07	50	48.38	250.0	249.23	-0.77	50.0	59.89	2108	19623	20.0	10000.0	9980.0	4.0003e-03	250.0	249.62	-0.38	50.0	50.54	π=0.593	9	True	0.5965	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	24	32	29	61	58	171	158	198	456	434	619	623	884	832	1024	1230	1437	1796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.41	1.86	22.55	11.09	16.6	37.44	43.66	91.84	131.97	170.49	393.51	306.73	547.92	463.41	765.29	658.72	906.71	954.79	1290.12	1496.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	2.14	1.45	20.91	12.4	23.56	14.34	79.16	26.03	27.51	62.49	127.27	71.08	159.59	118.71	173.28	117.29	275.21	146.88	299.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0828	0.5345	0.0602	0.6533	0.4276	0.3863	0.2472	0.4629	0.1647	0.1389	0.137	0.2932	0.1148	0.2562	0.1343	0.2083	0.1145	0.2237	0.1022	0.1669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	41.94	9883.06	0.9958	2000	13641.75	11641.75	10075	8316.31	0.1746	20000	8358.25	0.5821	22000	1346	0	250	256.99	6.99	50	47.58	250.0	249.76	-0.24	50.0	62.24	2106	19849	100.0	10000.0	9900.0	4.0368e-03	250.0	248.61	-1.39	50.0	51.56	π=0.569	13	True	0.5711	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	24	32	29	61	58	171	158	198	456	434	619	623	884	832	1024	1230	1437	1796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.41	1.86	22.55	11.09	16.6	37.44	43.66	91.84	131.97	170.49	393.51	306.73	547.92	463.41	765.29	658.72	906.71	954.79	1290.12	1496.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	2.14	1.45	20.91	12.4	23.56	14.34	79.16	26.03	27.51	62.49	127.27	71.08	159.59	118.71	173.28	117.29	275.21	146.88	299.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0828	0.5345	0.0602	0.6533	0.4276	0.3863	0.2472	0.4629	0.1647	0.1389	0.137	0.2932	0.1148	0.2562	0.1343	0.2083	0.1145	0.2237	0.1022	0.1669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	41.94	9883.06	0.9958	2000	13641.75	11641.75	10075	8316.31	0.1746	20000	8358.25	0.5821	22000	1346	0	250	256.99	6.99	50	47.58	250.0	249.76	-0.24	50.0	62.24	2106	19849	1000.0	10000.0	9000.0	4.0368e-03	250.0	248.61	-1.39	50.0	51.56	π=0.569	13	True	0.5711	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	21	37	32	60	68	174	150	212	458	429	606	646	890	828	1030	1190	1443	1791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	19.87	33.01	27.43	58.14	58.3	145.4	151.17	201.01	448.9	402.86	613.64	641.4	897.56	820.95	1000.5	1206.61	1459.84	1733.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	1.13	3.99	4.57	1.86	9.7	28.6	1.17	10.99	9.1	26.14	7.64	4.6	7.56	7.05	29.5	16.61	16.84	57.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0537	0.1078	0.1427	0.031	0.1427	0.1643	0.0078	0.0518	0.0199	0.0609	0.0126	0.0071	0.0085	0.0085	0.0286	0.014	0.0117	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	8243.88	1681.12	0.1694	6000	7835.87	1835.87	10075	9920.26	0.0154	20000	18164.13	0.0918	26000	3905	0	250	250.22	0.22	50	58.23	250.0	248.2	-1.8	50.0	50.04	22095	3905	5.0	10000.0	9995.0	1.2028e-02	250.0	248.51	-1.49	50.0	50.07	π=0.620	8	True	0.6202	201
10	20	40	70	100	150	200	350	500	700	1000	1200	1500	1800	2000	2500	3000	3500	4000	5000	5	10	20	30	50	70	100	150	200	300	400	500	600	700	800	1000	1200	1400	1600	2000	0.5	20000	0.3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	26	36	28	58	67	174	152	213	457	436	609	623	886	820	1040	1205	1449	1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61	0.0	15.55	18.88	17.17	27.28	45.15	84.22	111.31	147.66	350.99	290.06	505.83	458.09	704.89	591.4	908.8	915.92	1247.89	1439.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	5.0	10.45	17.12	10.83	30.72	21.85	89.78	40.69	65.34	106.01	145.94	103.17	164.91	181.11	228.6	131.2	289.08	201.11	345.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7317	1.0	0.4018	0.4756	0.3866	0.5296	0.3261	0.516	0.2677	0.3068	0.232	0.3347	0.1694	0.2647	0.2044	0.2788	0.1262	0.2399	0.1388	0.1937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9925	40.48	9884.52	0.9959	6000	18077.5	12077.5	10075	7882.02	0.2177	20000	7922.5	0.6039	26000	3963	0	250	259.07	9.07	50	48.38	250.0	249.21	-0.79	50.0	58.29	2108	23477	20.0	10000.0	9980.0	1.2173e-02	250.0	248.55	-1.45	50.0	50.39	π=0.612	7	True	0.6119	201
